Shot Zone,Field Goals Made,Field Goals Attempted,Field Goal Percentage
Less Than 5 ft.,128,214,0.598
5-9 ft.,55,105,0.524
10-14 ft.,81,175,0.463
15-19 ft.,74,162,0.457
20-24 ft.,62,142,0.437
25-29 ft.,111,274,0.405
30-34 ft.,0,2,0.0
35-39 ft.,0,0,0.0
40+ ft.,0,0,0.0
